country,year,middle_class_wealth_share
AD,1980,0.3844
AD,1981,0.3843
AD,1982,0.3844
AD,1983,0.3842
AD,1984,0.3835
AD,1985,0.3832
AD,1986,0.3837
AD,1987,0.3839
AD,1988,0.384
AD,1989,0.3836
AD,1990,0.3838
AD,1991,0.3842
AD,1992,0.3828
AD,1993,0.3824
AD,1994,0.3815
AD,1995,0.3818
AD,1996,0.3816
AD,1997,0.3803
AD,1998,0.38
AD,1999,0.3798
AD,2000,0.3779
AD,2001,0.3794
AD,2002,0.3807
AD,2003,0.3804
AD,2004,0.3797
AD,2005,0.3787
AD,2006,0.3764
AD,2007,0.3762
AD,2008,0.3813
AD,2009,0.3824
AD,2010,0.3792
AD,2011,0.3796
AD,2012,0.3811
AD,2013,0.3807
AD,2014,0.3795
AD,2015,0.3799
AD,2016,0.3793
AD,2017,0.3788
AD,2018,0.3789
AD,2019,0.3798
AD,2020,0.3802
AD,2021,0.378
AD,2022,0.3774
AD,2023,0.3775
AD,2024,0.3775
AE,1820,0.224
AE,1850,0.2114
AE,1880,0.2053
AE,1900,0.2006
AE,1910,0.2177
AE,1920,0.217
AE,1930,0.217
AE,1940,0.2173
AE,1950,0.2068
AE,1960,0.2173
AE,1970,0.2131
AE,1980,0.2949
AE,1981,0.2948
AE,1982,0.2949
AE,1983,0.2947
AE,1984,0.2947
AE,1985,0.2948
AE,1986,0.2945
AE,1987,0.2946
AE,1988,0.2946
AE,1989,0.2949
AE,1990,0.2945
AE,1991,0.2948
AE,1992,0.2947
AE,1993,0.2949
AE,1994,0.2946
AE,1995,0.2948
AE,1996,0.2946
AE,1997,0.2925
AE,1998,0.2772
AE,1999,0.2934
AE,2000,0.2918
AE,2001,0.2909
AE,2002,0.2826
AE,2003,0.2809
AE,2004,0.2798
AE,2005,0.2741
AE,2006,0.2727
AE,2007,0.2709
AE,2008,0.2697
AE,2009,0.2698
AE,2010,0.2968
AE,2011,0.313
AE,2012,0.3227
AE,2013,0.3335
AE,2014,0.3312
AE,2015,0.3312
AE,2016,0.3333
AE,2017,0.3316
AE,2018,0.3343
AE,2019,0.3362
AE,2020,0.3378
AE,2021,0.3378
AE,2022,0.3373
AE,2023,0.3377
AE,2024,0.3365
AF,1980,0.3692
AF,1981,0.3692
AF,1982,0.3692
AF,1983,0.3693
AF,1984,0.3693
AF,1985,0.3692
AF,1986,0.3693
AF,1987,0.3693
AF,1988,0.3693
AF,1989,0.3693
AF,1990,0.3692
AF,1991,0.3692
AF,1992,0.3692
AF,1993,0.3693
AF,1994,0.3693
AF,1995,0.3693
AF,1996,0.3692
AF,1997,0.3694
AF,1998,0.3693
AF,1999,0.3692
AF,2000,0.3691
AF,2001,0.3691
AF,2002,0.3692
AF,2003,0.3691
AF,2004,0.3694
AF,2005,0.3694
AF,2006,0.3691
AF,2007,0.3693
AF,2008,0.3692
AF,2009,0.3707
AF,2010,0.3711
AF,2011,0.3724
AF,2012,0.3735
AF,2013,0.3727
AF,2014,0.3723
AF,2015,0.3718
AF,2016,0.3712
AF,2017,0.3706
AF,2018,0.3705
AF,2019,0.3706
AF,2020,0.3706
AF,2021,0.3706
AF,2022,0.3705
AF,2023,0.3706
AF,2024,0.3706
AG,1980,0.2745
AG,1981,0.2746
AG,1982,0.2752
AG,1983,0.2755
AG,1984,0.2761
AG,1985,0.2766
AG,1986,0.2774
AG,1987,0.2778
AG,1988,0.2783
AG,1989,0.276
AG,1990,0.277
AG,1991,0.2796
AG,1992,0.2799
AG,1993,0.2812
AG,1994,0.2827
AG,1995,0.2906
AG,1996,0.291
AG,1997,0.2928
AG,1998,0.2943
AG,1999,0.2951
AG,2000,0.2957
AG,2001,0.2971
AG,2002,0.2979
AG,2003,0.3001
AG,2004,0.3025
AG,2005,0.3036
AG,2006,0.3053
AG,2007,0.3061
AG,2008,0.3076
AG,2009,0.3084
AG,2010,0.3093
AG,2011,0.3119
AG,2012,0.3152
AG,2013,0.3183
AG,2014,0.3201
AG,2015,0.323
AG,2016,0.3269
AG,2017,0.3299
AG,2018,0.3325
AG,2019,0.3355
AG,2020,0.3388
AG,2021,0.3394
AG,2022,0.3391
AG,2023,0.3397
AG,2024,0.3392
AI,1980,0.2743
AI,1981,0.2746
AI,1982,0.275
AI,1983,0.2756
AI,1984,0.2762
AI,1985,0.2767
AI,1986,0.2776
AI,1987,0.2779
AI,1988,0.2781
AI,1989,0.276
AI,1990,0.2772
AI,1991,0.2796
AI,1992,0.2799
AI,1993,0.2812
AI,1994,0.2829
AI,1995,0.2905
AI,1996,0.2913
AI,1997,0.2927
AI,1998,0.2942
AI,1999,0.2952
AI,2000,0.296
AI,2001,0.2972
AI,2002,0.2979
AI,2003,0.3002
AI,2004,0.3027
AI,2005,0.3036
AI,2006,0.3051
AI,2007,0.306
AI,2008,0.3076
AI,2009,0.3085
AI,2010,0.3092
AI,2011,0.3118
AI,2012,0.3151
AI,2013,0.3183
AI,2014,0.3202
AI,2015,0.3231
AI,2016,0.3267
AI,2017,0.3298
AI,2018,0.3325
AI,2019,0.3355
AI,2020,0.3387
AI,2021,0.3397
AI,2022,0.3393
AI,2023,0.3385
AI,2024,0.3389
AL,1980,0.3859
AL,1981,0.3859
AL,1982,0.3859
AL,1983,0.3859
AL,1984,0.3859
AL,1985,0.3859
AL,1986,0.3859
AL,1987,0.3859
AL,1988,0.386
AL,1989,0.386
AL,1990,0.386
AL,1991,0.3856
AL,1992,0.3853
AL,1993,0.3849
AL,1994,0.3845
AL,1995,0.3836
AL,1996,0.3836
AL,1997,0.3831
AL,1998,0.3829
AL,1999,0.3828
AL,2000,0.3831
AL,2001,0.3827
AL,2002,0.3822
AL,2003,0.3821
AL,2004,0.3826
AL,2005,0.3829
AL,2006,0.3831
AL,2007,0.3845
AL,2008,0.383
AL,2009,0.3833
AL,2010,0.3834
AL,2011,0.3829
AL,2012,0.3831
AL,2013,0.3806
AL,2014,0.3779
AL,2015,0.379
AL,2016,0.377
AL,2017,0.3783
AL,2018,0.3797
AL,2019,0.3809
AL,2020,0.3809
AL,2021,0.3812
AL,2022,0.3806
AL,2023,0.3812
AL,2024,0.3812
AM,1980,0.389
AM,1981,0.389
AM,1982,0.389
AM,1983,0.3891
AM,1984,0.3891
AM,1985,0.3892
AM,1986,0.3893
AM,1987,0.3893
AM,1988,0.3893
AM,1989,0.3894
AM,1990,0.3894
AM,1991,0.3881
AM,1992,0.3855
AM,1993,0.3804
AM,1994,0.3723
AM,1995,0.3661
AM,1996,0.3541
AM,1997,0.3584
AM,1998,0.362
AM,1999,0.3634
AM,2000,0.3665
AM,2001,0.3688
AM,2002,0.3674
AM,2003,0.3687
AM,2004,0.3602
AM,2005,0.3621
AM,2006,0.3753
AM,2007,0.3741
AM,2008,0.3769
AM,2009,0.379
AM,2010,0.3732
AM,2011,0.376
AM,2012,0.3754
AM,2013,0.3749
AM,2014,0.3731
AM,2015,0.3711
AM,2016,0.3718
AM,2017,0.3656
AM,2018,0.3649
AM,2019,0.3723
AM,2020,0.3724
AM,2021,0.3724
AM,2022,0.3724
AM,2023,0.3651
AM,2024,0.3664
AO,1980,0.2659
AO,1981,0.266
AO,1982,0.266
AO,1983,0.2659
AO,1984,0.2659
AO,1985,0.2658
AO,1986,0.2657
AO,1987,0.2661
AO,1988,0.2657
AO,1989,0.2658
AO,1990,0.2659
AO,1991,0.2658
AO,1992,0.2657
AO,1993,0.266
AO,1994,0.266
AO,1995,0.2657
AO,1996,0.2661
AO,1997,0.2659
AO,1998,0.266
AO,1999,0.2658
AO,2000,0.2658
AO,2001,0.2695
AO,2002,0.2813
AO,2003,0.2995
AO,2004,0.3099
AO,2005,0.3161
AO,2006,0.3226
AO,2007,0.33
AO,2008,0.3361
AO,2009,0.3314
AO,2010,0.3255
AO,2011,0.32
AO,2012,0.3156
AO,2013,0.3099
AO,2014,0.3035
AO,2015,0.2945
AO,2016,0.2741
AO,2017,0.2688
AO,2018,0.2663
AO,2019,0.2662
AO,2020,0.2662
AO,2021,0.2663
AO,2022,0.2663
AO,2023,0.2662
AO,2024,0.2662
AR,1820,0.2659
AR,1850,0.2582
AR,1880,0.2413
AR,1900,0.2319
AR,1910,0.2217
AR,1920,0.2218
AR,1930,0.2217
AR,1940,0.223
AR,1950,0.2378
AR,1960,0.296
AR,1970,0.3003
AR,1980,0.3263
AR,1981,0.3262
AR,1982,0.3264
AR,1983,0.3262
AR,1984,0.3263
AR,1985,0.3265
AR,1986,0.3264
AR,1987,0.3265
AR,1988,0.3262
AR,1989,0.3265
AR,1990,0.3262
AR,1991,0.3264
AR,1992,0.3264
AR,1993,0.3262
AR,1994,0.3265
AR,1995,0.3263
AR,1996,0.3263
AR,1997,0.3265
AR,1998,0.3264
AR,1999,0.3261
AR,2000,0.3263
AR,2001,0.3196
AR,2002,0.3107
AR,2003,0.329
AR,2004,0.3323
AR,2005,0.3514
AR,2006,0.3602
AR,2007,0.3483
AR,2008,0.3685
AR,2009,0.3677
AR,2010,0.3652
AR,2011,0.3705
AR,2012,0.3719
AR,2013,0.3707
AR,2014,0.3679
AR,2015,0.3678
AR,2016,0.3676
