country,essround,year,stfeco_value,share
AT,1,2003.0,0,0.03898980948161276
AT,1,2003.0,1,0.02259636685866194
AT,1,2003.0,2,0.05361098803721755
AT,1,2003.0,3,0.10146211785556047
AT,1,2003.0,4,0.10589277802392556
AT,1,2003.0,5,0.1993797075764289
AT,1,2003.0,6,0.14133805937084626
AT,1,2003.0,7,0.14399645547186532
AT,1,2003.0,8,0.10367744793974303
AT,1,2003.0,9,0.03278688524590164
AT,1,2003.0,10,0.018165706690296855
AT,1,2003.0,88,0.03810367744793974
AT,2,2005.0,0,0.040336879432624116
AT,2,2005.0,1,0.02349290780141844
AT,2,2005.0,2,0.04964539007092199
AT,2,2005.0,3,0.09485815602836879
AT,2,2005.0,4,0.11702127659574468
AT,2,2005.0,5,0.19946808510638298
AT,2,2005.0,6,0.13608156028368795
AT,2,2005.0,7,0.16046099290780141
AT,2,2005.0,8,0.09441489361702128
AT,2,2005.0,9,0.03235815602836879
AT,2,2005.0,10,0.015070921985815602
AT,2,2005.0,88,0.03679078014184397
BE,1,2002.0,0,0.02652370203160271
BE,1,2002.0,1,0.016930022573363433
BE,1,2002.0,2,0.051354401805869074
BE,1,2002.0,3,0.08521444695259593
BE,1,2002.0,4,0.10778781038374718
BE,1,2002.0,5,0.17720090293453725
BE,1,2002.0,6,0.18623024830699775
BE,1,2002.0,7,0.18002257336343114
BE,1,2002.0,8,0.09085778781038374
BE,1,2002.0,9,0.017494356659142212
BE,1,2002.0,10,0.014672686230248307
BE,1,2002.0,88,0.041196388261851014
BE,1,2002.0,99,0.004514672686230248
BE,1,2003.0,0,0.03571428571428571
BE,1,2003.0,1,0.07142857142857142
BE,1,2003.0,2,0.03571428571428571
BE,1,2003.0,3,0.05357142857142857
BE,1,2003.0,4,0.07142857142857142
BE,1,2003.0,5,0.19642857142857142
BE,1,2003.0,6,0.17857142857142858
BE,1,2003.0,7,0.15178571428571427
BE,1,2003.0,8,0.11607142857142858
BE,1,2003.0,9,0.026785714285714284
BE,1,2003.0,88,0.0625
BE,1,9999.0,2,0.13333333333333333
BE,1,9999.0,3,0.13333333333333333
BE,1,9999.0,4,0.13333333333333333
BE,1,9999.0,5,0.26666666666666666
BE,1,9999.0,6,0.13333333333333333
BE,1,9999.0,7,0.06666666666666667
BE,1,9999.0,8,0.06666666666666667
BE,1,9999.0,99,0.06666666666666667
BE,2,2004.0,0,0.031746031746031744
BE,2,2004.0,1,0.027472527472527472
BE,2,2004.0,2,0.06227106227106227
BE,2,2004.0,3,0.09829059829059829
BE,2,2004.0,4,0.1227106227106227
BE,2,2004.0,5,0.18986568986568986
BE,2,2004.0,6,0.19536019536019536
BE,2,2004.0,7,0.16483516483516483
BE,2,2004.0,8,0.0695970695970696
BE,2,2004.0,9,0.014041514041514042
BE,2,2004.0,10,0.006715506715506716
BE,2,2004.0,77,0.0006105006105006105
BE,2,2004.0,88,0.016483516483516484
BE,2,2005.0,0,0.007142857142857143
BE,2,2005.0,1,0.03571428571428571
BE,2,2005.0,2,0.06428571428571428
BE,2,2005.0,3,0.07142857142857142
BE,2,2005.0,4,0.09285714285714286
BE,2,2005.0,5,0.1357142857142857
BE,2,2005.0,6,0.2
BE,2,2005.0,7,0.2571428571428571
BE,2,2005.0,8,0.07142857142857142
BE,2,2005.0,9,0.014285714285714285
BE,2,2005.0,10,0.02857142857142857
BE,2,2005.0,77,0.007142857142857143
BE,2,2005.0,88,0.014285714285714285
CH,1,2002.0,0,0.014395886889460155
CH,1,2002.0,1,0.018508997429305913
CH,1,2002.0,2,0.0699228791773779
CH,1,2002.0,3,0.1532133676092545
CH,1,2002.0,4,0.17017994858611826
CH,1,2002.0,5,0.1686375321336761
CH,1,2002.0,6,0.14447300771208227
CH,1,2002.0,7,0.14138817480719795
CH,1,2002.0,8,0.07403598971722365
CH,1,2002.0,9,0.018508997429305913
CH,1,2002.0,10,0.009768637532133676
CH,1,2002.0,88,0.01696658097686375
CH,1,2003.0,0,0.010526315789473684
CH,1,2003.0,2,0.010526315789473684
CH,1,2003.0,3,0.12631578947368421
CH,1,2003.0,4,0.17894736842105263
CH,1,2003.0,5,0.18947368421052632
CH,1,2003.0,6,0.17894736842105263
CH,1,2003.0,7,0.15789473684210525
CH,1,2003.0,8,0.08421052631578947
CH,1,2003.0,9,0.031578947368421054
CH,1,2003.0,10,0.010526315789473684
CH,1,2003.0,88,0.021052631578947368
CH,2,2004.0,0,0.017354877318970677
CH,2,2004.0,1,0.01436265709156194
CH,2,2004.0,2,0.04488330341113106
CH,2,2004.0,3,0.11131059245960502
CH,2,2004.0,4,0.15978456014362658
CH,2,2004.0,5,0.20167564332734889
CH,2,2004.0,6,0.16337522441651706
CH,2,2004.0,7,0.14602034709754638
CH,2,2004.0,8,0.09575104727707959
CH,2,2004.0,9,0.020945541591861162
CH,2,2004.0,10,0.009575104727707959
CH,2,2004.0,88,0.014961101137043686
CH,2,2005.0,0,0.002127659574468085
CH,2,2005.0,1,0.006382978723404255
CH,2,2005.0,2,0.03829787234042553
CH,2,2005.0,3,0.10851063829787234
CH,2,2005.0,4,0.15319148936170213
CH,2,2005.0,5,0.225531914893617
CH,2,2005.0,6,0.14680851063829786
CH,2,2005.0,7,0.14893617021276595
CH,2,2005.0,8,0.1
CH,2,2005.0,9,0.02553191489361702
CH,2,2005.0,10,0.01702127659574468
CH,2,2005.0,88,0.027659574468085105
CZ,1,2002.0,0,0.0745945945945946
