"country";"year";"ess_exists";"wid_exists"
"AL";2003;FALSE;TRUE
"AL";2004;FALSE;TRUE
"AL";2005;FALSE;TRUE
"AL";2006;FALSE;TRUE
"AL";2007;FALSE;TRUE
"AL";2008;FALSE;TRUE
"AL";2009;FALSE;TRUE
"AL";2010;FALSE;TRUE
"AL";2011;FALSE;TRUE
"AL";2012;FALSE;TRUE
"AL";2013;FALSE;TRUE
"AL";2014;FALSE;TRUE
"AL";2015;FALSE;TRUE
"AL";2016;FALSE;TRUE
"AL";2017;FALSE;TRUE
"AL";2018;FALSE;TRUE
"AL";2019;FALSE;TRUE
"AL";2020;FALSE;TRUE
"AL";2021;FALSE;TRUE
"AL";2022;FALSE;TRUE
"AL";2023;FALSE;TRUE
"AL";2024;FALSE;TRUE
"AT";2003;TRUE;TRUE
"AT";2004;FALSE;TRUE
"AT";2005;TRUE;TRUE
"AT";2006;FALSE;TRUE
"AT";2007;FALSE;TRUE
"AT";2008;FALSE;TRUE
"AT";2009;FALSE;TRUE
"AT";2010;FALSE;TRUE
"AT";2011;FALSE;TRUE
"AT";2012;FALSE;TRUE
"AT";2013;FALSE;TRUE
"AT";2014;FALSE;TRUE
"AT";2015;FALSE;TRUE
"AT";2016;FALSE;TRUE
"AT";2017;FALSE;TRUE
"AT";2018;FALSE;TRUE
"AT";2019;FALSE;TRUE
"AT";2020;FALSE;TRUE
"AT";2021;FALSE;TRUE
"AT";2022;FALSE;TRUE
"AT";2023;FALSE;TRUE
"AT";2024;FALSE;TRUE
"BE";2003;TRUE;TRUE
"BE";2004;TRUE;TRUE
"BE";2005;TRUE;TRUE
"BE";2006;FALSE;TRUE
"BE";2007;FALSE;TRUE
"BE";2008;FALSE;TRUE
"BE";2009;FALSE;TRUE
"BE";2010;FALSE;TRUE
"BE";2011;FALSE;TRUE
"BE";2012;FALSE;TRUE
"BE";2013;FALSE;TRUE
"BE";2014;FALSE;TRUE
"BE";2015;FALSE;TRUE
"BE";2016;FALSE;TRUE
"BE";2017;FALSE;TRUE
"BE";2018;FALSE;TRUE
"BE";2019;FALSE;TRUE
"BE";2020;FALSE;TRUE
